page_id,path,new_slug,new_title,new_seo_title,new_seo_description,impressions
671856797fe880622f1b9b34,/seattle-flooring-services/premium-hardwood-floor-installation-in-seattle-wa-wills-flooring,,"Flooring Installation in Seattle, WA","Flooring Installation Seattle, WA | Wills Flooring","Flooring installation company in Seattle, WA. Hardwood, LVP, laminate & carpet installers. Free in-home estimate: (425) 350-4435.",8101
673be929ba9c24d54cee2466,/lynnwood-wa-flooring-services/laminate-flooring-installation-in-lynnwood-wa,,"Laminate Flooring Installation in Lynnwood, WA","Laminate Flooring Installation Lynnwood, WA | Wills Flooring","Laminate flooring installation in Lynnwood, WA by local laminate floor installers. Free in-home estimate: (425) 350-4435.",3909
6736bf6a7b58e497e6513eca,/seattle-flooring-services/laminate-flooring-installation-in-seattle-wa-expert-services,laminate-flooring-installation-in-seattle-wa,"Laminate Flooring Installation in Seattle, WA","Laminate Flooring Installation Seattle, WA | Wills Flooring","Laminate flooring installation in Seattle, WA by local laminate floor installers. Free in-home estimate: (425) 350-4435.",3760
671957bbffa1185697f78aa8,/lynnwood-wa-flooring-services/expert-hardwood-floor-installation-in-lynnwood-wa,,"Flooring Installation in Lynnwood, WA","Flooring Installation Lynnwood, WA | Wills Flooring","Flooring installation company in Lynnwood, WA. Hardwood, LVP, laminate & carpet installers. Free in-home estimate: (425) 350-4435.",3078
673bea1eda9d6db8c1ac3ec7,/lynnwood-wa-flooring-services/vinyl-plank-flooring-installation-in-lynnwood-wa,,"Luxury Vinyl Plank (LVP) Flooring Installation in Lynnwood, WA","LVP & Vinyl Plank Installation Lynnwood, WA | Wills Flooring","LVP & vinyl plank flooring installers in Lynnwood, WA. Waterproof luxury vinyl, expertly fitted. Free in-home estimate: (425) 350-4435.",2756
672ea155d9675f7971cc127c,/seattle-flooring-services/hardwood-floor-refinishing-in-seattle-wa-wills-flooring,,"Hardwood Floor Refinishing in Seattle, WA","Hardwood Floor Refinishing Seattle, WA | Wills Flooring","Hardwood floor refinishing in Seattle, WA: dustless sanding, staining & a durable new finish. Free in-home estimate: (425) 350-4435.",2583
673bc2638fd139a1ceaf4b67,/redmond-flooring-services/laminate-flooring-installation-in-redmond-wa,,"Laminate Flooring Installation in Redmond, WA","Laminate Flooring Installation Redmond, WA | Wills Flooring","Laminate floor installers in Redmond, WA. Durable, scratch-resistant laminate fitted room by room. Free in-home estimate: (425) 350-4435.",2567
67181c91c58ecf6a849ac0c7,/bellevue-flooring-services/hardwood-floor-installation-service-wills-flooring-bellevue-wa,,"Flooring Installation in Bellevue, WA","Flooring Installation Bellevue, WA | Wills Flooring","Flooring installation company in Bellevue, WA. Hardwood, LVP, laminate & carpet installers. Free in-home estimate: (425) 350-4435.",2559
672ea27fc263a4580c0a5c99,/everett-flooring-services/hardwood-floor-refinishing-in-everett-wa-wills-flooring,,"Hardwood Floor Refinishing in Everett, WA","Hardwood Floor Refinishing Everett, WA | Wills Flooring","Wood floor sanding & refinishing contractor in Everett, WA. Dustless, low-odor finishes. Free in-home estimate: (425) 350-4435.",2526
673bd624fb4cb2beedbf5ec6,/medina-wa-flooring-services/laminate-flooring-installation-in-medina-wa,,"Laminate Flooring Installation in Medina, WA","Laminate Flooring Installation Medina, WA | Wills Flooring","Laminate flooring installation in Medina, WA, plus tile setting by the same crew. Free in-home estimate: (425) 350-4435.",2416
